video_id,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
3238737531,2303,640,480,how many children are in the video,two,2,DC,one,three,seven,two,five
8968804598,332,640,360,why is the blue sweater guy looking at the shirtless men,training,0,CW,sharing with his friends,found the man funny,poor vision,keep hands warm,training
13884124143,853,640,360,how did the guy on the board managed to not fall off from the board at the start of the video,move left right to balance,1,CH,jump,nod,push the chair away,playing the piano,move left right to balance
2617504308,1218,500,281,why does the man have to throw the plane first in the middle of the video,get it start flying,3,CW,chase the ball,the toy car hit the wall,put on earmuffs,get it start flying,bounce baby on cushion
10521491465,1735,640,360,why is the panda on the grass brown,dirty,4,CW,to sit up,dirty,prevent it from escaping,get dirt off,resting and eating
4177168857,1389,360,480,why did the baby grab the man s ear and hair,play with the man,1,CW,to sing,play with the man,stabilize the baby,wave the horse,want to play
3136982378,1294,640,480,why are there people surrounding the two people fencing,watching them,7,CW,guide,performing,watching them,play for fun,to maintain the distance
4729027639,2161,640,480,why did the lady in white approach the girls on stage in the middle of the video,point into the booklet,3,CW,asked her to stand in position,for fun,holding dog leash,point into the booklet,talking about the white bottle
7093500213,1110,640,360,what does the man in checkered do after walking onto the stage with microphone stands at the start,set up the stand,6,TN,bow to people,set up the stand,take away the stand,takes out some paper,hands him a bottle
6102982194,1266,640,360,why does the man playing the white guitar go near the man playing the keytar,to energise him,2,CW,want to talk to him,make music,to energise him,want to hit him,to annoy him
7417682572,1816,640,360,what does the man playing the drums do with his feet as he plays the drum,moves his feet,2,TC,look through the box,moves his feet,smoke,walk around the hoop,cap
8364779007,1457,640,360,why does the boy in red turn around after getting out on the grass at the start,to look at camera,7,CW,to see if there is anything,to get onto table,failed at goal keeping,to look at camera,wait for people behind
5319843668,1417,640,360,why are there flashes of light when the children are playing in the boxes,camera taking photo,1,CW,camera taking photo,guide the direction,shine brightness,start of the gane,part of performance
4597414801,2697,640,480,what does the lady do after shaking her body for a while in the middle,pet the cat,7,TN,pet the cat,let go of cat,went upstairs,play with dogs,continue cycling
3229982634,885,640,480,where is this video taken,house,8,DL,house,kitchen,stage,ballroom,train
9177467036,648,640,360,why did the man wear hat while riding the horse,part of the outfit,2,CW,conversing with them,part of the outfit,support woman,to move it,give good performance
5699224686,2697,640,480,how many animals are involved in the video,two,9,DC,five,four,one,three,two
10745999374,3217,640,360,why does the toy sword start blinking in the middle of the video,boy in red turn it on,3,CW,boy in red turn it on,ball rolling away,road bumpy,get cat s attention,finished playing till that page
8319941339,318,640,1138,why does the boy cross his legs on the bed,put keyboard on his lap,7,CW,resting,put keyboard on his lap,wants to get on the bed,point to the video recorder,follow the instructions
2400987326,2576,320,240,how is the man in grey plaid shirt feeling while talking at the start,happy,5,TC,worried,terrible,curious,frightened,happy
6217597005,1333,640,360,where is this video taken,road,5,DL,playground,sea,zoo,boxing ring,road
2927552798,780,500,375,why did the man in stripes put on his jacket at the door,look cool,2,CW,look cool,prevent it from falling,for fashion,protect from sun,feeling hot
6083954222,2642,640,1138,why did the boy in orange hold a ball on his head,want to throw the ball,4,CW,to aim at hoop,want to throw the ball,hitting the blocks,part of performance,pose for photos
8903248754,551,640,360,what is the other boy doing while the boy with green shorts jumped at the end of the video,looking at the boy,7,TC,catches it back,lean over to man,throws the ball,looking at the boy,fold his arms
2857624971,780,320,240,why are there bubbles coming from the divers mouth,oxygen,6,CW,fell off their jetski,resistance from water,oxygen,beach,they are breathing
2934685860,1164,640,480,why did the woman walk back towards the stroller after the kid moved away from the fence at the end,to push stroller,11,TN,ignores,follow girl in pink,hold hands and move in circles together,kiss the boy,to push stroller
5868055864,2308,640,480,how is the baby positioned in the video,in the man s arm,1,DO,in the man s arm,sitting,on baby seat,standing,in the cradle
6349106171,1780,604,1072,why are the men squinting their eyes,sunny,2,CW,stage light too bright,underwater,to pose for pictures,sunny,in spectacles shop
5858839474,821,640,360,how did the boy in stripped open the book to see its contents,flip the pages,9,CH,with a bookmark,asked the girl for help,observe the book,flip the pages,stare at the book
5721638917,1279,640,1138,why was the dog waiting at the other side of the room near the middle of the video,waiting to fetch ball,9,CW,looking for food,waiting for frisbee game,waiting to fetch ball,waiting for sheeps,waiting for another dog
5680168187,1194,640,480,what does the man on the boat do after getting up,strokes his beard,8,TN,strokes his beard,stand up,move backwards,pull it up,speed up
4567287291,1748,360,480,what is the person on the bed doing as the baby plays,sleeping,2,TC,lying,standing and moving hands,takes support,happy,sleeping
4400119620,480,640,360,what did the man in spectacles do after the couple linked arms,gesture for them to move forward,5,TN,start writing,hands him a bottle,gesture for them to move forward,turn back,start performing
9186559718,379,640,360,what are the colourful objects in the bathtub with the baby,toys,0,DO,duck toy,bathball,bathtub,toys,bird
9337790459,811,640,360,where is this video taken,garden,4,DL,garden,field,dinning table,along the streets,lake
5379354799,1467,640,1138,what did the lady do when they reached the bush,point at pumpkin,6,TC,point at pumpkin,let go of balloon,reach her hand out,point at camera,pat dog s head
5085607670,1830,640,360,how do the people on stage react when the lady in green makes a dance move,followed her dance steps,4,TC,followed her dance steps,smile,touch their hair band,lie on floor,move away
6096381083,1661,640,360,how does the woman in spectacles project her voice,use microphone,1,CH,use poles,singing into toy mike,use microphone,doing show and tell,strum the guitar
12031151404,608,640,1138,why did the guy put his left leg on the steps,posing,2,CW,play game,as support,posing,try to kick her,pedalling bicycle
2622813876,915,640,480,what does the baby do after the adult put down the bottle near the middle,grab bottle,2,TN,grab bottle,look down,smile,cry,jump
7843288978,2697,640,480,where is the boy projecting his photos on,screen,9,DL,wall,table,beach,floor,screen
5806747559,1991,640,360,what does the woman do after opening the notes on her hands,smile,7,TN,smile,jump,stood up,walk to camera,stands up
2640440327,552,320,240,why did the lady on the right look away at the end,laugh,5,CW,speak to all audiences,laugh,watch for girl in pink,play with things on floor,looking at tickets
6595307655,1170,640,480,why is the lighter brown dog lying on the floor at the start of the video,playing,4,CW,imbalanced,sniffing the ground,playing,waiting for treats,playing with sheep
3866633650,729,640,480,why did the boy in pink towel hit the sand on his leg with the spade after putting sand on top,stablize the sand,2,CW,remove the sand,moving with the rhythm,to return ball to thrower,stablize the sand,makes boy happy
4136860893,2697,640,480,how are the boys eating the ice cream,with the spoon,0,CH,turn and twist it,lady feed,left hand,use fork,with the spoon
9069281283,303,640,360,what does the man in the middle do after climbing up the stairs,look at camera,0,TN,look at camera,walked off,walks in,touched his shoulders,look down
8997865396,2328,640,480,how does the cat react after being tickled for a long time,lift its head up,7,TN,look at bird,lift its head up,climb up and touch the screen,turns away,distracted by something
2549562657,884,320,240,how is the baby in blue shirt positioned,sitting,5,TC,heat up metal,sitting,standing,sitting at the sofa,throw away the blue toy
5585306763,1157,640,360,why was the bald headed man unable to catch the ball after the the boy with red pants threw ball,throw too high up,5,CW,throw too high up,not ready for the game,to defend his team,ball was thrown to another side,hands were occupied
13559530235,1290,640,360,why are there wires connected from the picture to the laptop,show the picture from camera,4,CW,focused on the game,nobody using currently,test duration of computer setting up,show the picture from camera,recording time
5465138661,936,320,240,why does the girl in jeans bend down at the start of the video,play with baby,1,CW,dance move,prevent jeans from getting wet,tired of bouncing,play with baby,pick up snow
9583453634,1145,640,360,how did the man react after the crocodile open its mouth near him,ran behind,1,TN,ran behind,excited,make it do tricks,lifts up his leg,straighten up his legs
13312922233,1159,640,1138,what did the boy do after putting his finger to his mouth,open his palm,7,TN,bend his back,reach for the airconditioners,move cameras,touch the cat,open his palm
9566614158,687,640,1138,why does the man in black walk back towards the end,someone asked him to do that,5,CW,someone asked him to do that,looking at the structure around,stroke the dog,avoid the cold,check on child
4004287747,663,640,360,whose birthday are the people celebrating for,the lady in black,8,DO,lady in dotted shirt,man in red pants,rainforest rescue organization,man in green,the lady in black
7835628046,1773,640,360,what does the boy do after bending down,play with toy,7,TN,play with toy,performing,lean and look forward,touch man s hoodie,water ride
3227968260,930,640,480,how did the two women react after the woman in stripes released their hand at the start of the video,start pushing and wrestling,4,TN,start pushing and wrestling,touch her eyes,roll on her back,open her eyes,tilt head forward
3396663702,529,640,474,why does the baby keeps moving his hands and legs after falling,fidgeting,2,CW,move closer to him,play with the toy,fidgeting,sleepy,new to walking
9338319433,780,640,360,why did the men wear helmets,working,0,CW,flying fox,playing baseball,skateboarding,working,cycling
4542653205,1176,640,360,how many operators are present in the video,three,8,DC,six,eight,two,three,four
8968804598,332,640,360,why are the men walking in synchronisation,exercising,1,CW,exercising,found what he wanted,prevent falling off,not part of the group,performance
4527426680,592,640,360,how does the girl react while watching the blanket,laugh,9,TC,walk away,bend down,show his bottle to camera,relaxed,laugh
3552516882,412,480,640,where is this place,house,7,DL,bus terminal,outdoors,kitchen,house,waterfall
5176535833,2697,640,360,why did the girls throw the crushed papers from the box around,paper blocking them,1,CW,to clean the floor,to draw on the paper,paper blocking them,to play with dog,easier to put things in
3918022916,349,640,480,what are the boys wearing on their feet,barefoot,3,DO,camera,playground,puppet,barefoot,paddle
5436130345,1680,640,424,why does the boy put his tongue out towards the end,playful,2,CW,to throw out,playful,speak to someone,finish singing,show by man in black
6624894833,853,640,360,what does the white car in front do after driving in one lane for a while,change lane,6,TN,watching the other car,stays still,look at police car,change lane,watch jeep
8748339924,490,640,480,what does the pig on the outer left do in the middle of the video,walk away,0,TC,walk away,move,shake itself,go back,follow the hand
3023021780,664,500,375,why does the girl raise her arm higher up at the end,playing,3,CW,moving baby s hands,playing,holding the dog s collar,adjusting self stick,interacting with audience
8290475933,870,640,360,how did the man position his hands while speaking,hug the lady,8,TC,hold the microphone,put into pockets,push the trolley,hug the lady,strum the string
12464813773,1299,640,360,what is the pink colour board the pink girl is holding for,sleigh,1,TC,swinging her arms,sleigh,smiling,look back,happy
11396390844,494,640,360,why are the two men staring downwards,looking at paper,4,CW,look at the book,adjust something,taking photos,looking at paper,look at the cameraman
5332533757,1351,640,480,why do the men in black constantly hold onto the metal throughout the video,support metal structure,1,CW,lighting weights,want to test strength,part of performance,support metal structure,show where to hit
2408143908,940,320,240,why does the man in red helmet keep staring into the trees in the middle of the video,look at man doing flying fox,4,CW,to video him,adjust screen,adjust aim,look at something,look at man doing flying fox
4704253964,845,640,480,why does the lady in white turns back near the end,to get her glass refilled,3,CW,hold the bowl,talking to cameraman,engage the audience,to get her glass refilled,hold the bottle
5558701375,2697,480,640,what does the lady in green do after the girl walks away at the start,follow girl,6,TN,look at camera,she bows twice,push the board away,lie on the ground,follow girl
11049178966,5383,640,360,what does the man do after putting the cup of water down,start playing the instruments,2,TN,stops drinking,start playing the instruments,swirl the drink,smile,closes the tap
3537017298,963,640,480,what activity is being carried out,eating,6,TC,fencing,eating,printing,presentation,woman talking to the crowd
5996570774,728,640,360,how is the woman feeling while playing with the girl in grey,bored,8,TC,bored,embarrassed,scared,enjoyable,blessed
2407008208,1346,640,480,why do the divers wear goggles,see better underwater,4,CW,to get onto the boat,showering the dog,cooling,see better underwater,oxygen
6247230354,2370,640,480,what are the people doing in the video,trekking,10,TC,paragliding,playing guitars,climbing tree,trekking,buying drink
3295058818,798,640,480,what did the girl with red headband do after being attacked by the girl with spectacles,hit her back,7,TN,slide down,hit her back,walk towards stairs,pat her head,chase her
